identifier,sp_in_embedding,sequence_source,sequence_length_used,major_group,cysteine_group
B2BRR5,yes,full_seq,88,Long-chain,Long-chain
B2BRR6,yes,full_seq,88,Long-chain,Long-chain
B2BRR7,yes,full_seq,88,Long-chain,Long-chain
B2BRR8,yes,full_seq,88,Long-chain,Long-chain
B2BRS1,yes,full_seq,93,Long-chain,Long-chain
A8S6A4,yes,full_seq,81,Short-chain,Short-chain
A8S6B0,yes,full_seq,92,Long-chain,Long-chain
M9T2J4,yes,full_seq,88,Non-standard,Non-standard
A0A193CHL1,yes,full_seq,109,Plesiotypic,Plesiotypic
A0A481MQM5,yes,full_seq,84,Non-standard,Non-standard
A0A481MQJ6,yes,full_seq,105,Plesiotypic,Plesiotypic
A0A481MQK7,yes,full_seq,103,Plesiotypic,Plesiotypic
A0A481MQL7,yes,full_seq,103,Plesiotypic,Plesiotypic
A0A481MQP4,yes,full_seq,84,Non-standard,Non-standard
Q06ZW0,yes,full_seq,111,Plesiotypic,Plesiotypic
NCBI|Boiga_dendrophila_dendrophila_GGUB01000001|Boiga_dendrophila_dendrophila,yes,full_seq,84,Non-standard,Non-standard
None|1305Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,77,Plesiotypic,Plesiotypic
None|1311Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,77,Plesiotypic,Plesiotypic
None|1313Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,84,Plesiotypic,Plesiotypic
None|1315Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,77,Plesiotypic,Plesiotypic
None|1321Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,84,Plesiotypic,Plesiotypic
None|1383Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,82,Plesiotypic,Plesiotypic
None|1399Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,82,Plesiotypic,Plesiotypic
None|1401Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,82,Plesiotypic,Plesiotypic
NCBI|Boiga_dendrophila_dendrophila_GGUB01000002|Boiga_dendrophila_dendrophila,yes,full_seq,103,Plesiotypic,Plesiotypic
NCBI|Boiga_dendrophila_dendrophila_GGUB01000005|Boiga_dendrophila_dendrophila,yes,full_seq,105,Plesiotypic,Plesiotypic
NCBI|Boiga_dendrophila_dendrophila_GGUB01000024|Boiga_dendrophila_dendrophila,yes,full_seq,103,Plesiotypic,Plesiotypic
NCBI|Boiga_dendrophila_dendrophila_GGUB01000025|Boiga_dendrophila_dendrophila,yes,full_seq,105,Plesiotypic,Plesiotypic
NCBI|Boiga_dendrophila_dendrophila_GGUB01000027|Boiga_dendrophila_dendrophila,yes,full_seq,105,Plesiotypic,Plesiotypic
None|1217Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,86,Plesiotypic,Plesiotypic
None|1221Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,84,Plesiotypic,Plesiotypic
None|1231Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,84,Plesiotypic,Plesiotypic
None|1233Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,84,Plesiotypic,Plesiotypic
None|1237Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,84,Plesiotypic,Plesiotypic
None|1283Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,77,Plesiotypic,Plesiotypic
None|1307Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,77,Plesiotypic,Plesiotypic
None|1319Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,84,Non-standard,Plesiotypic
None|1323Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,84,Plesiotypic,Plesiotypic
None|1325Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,77,Plesiotypic,Plesiotypic
None|1327Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,77,Plesiotypic,Plesiotypic
None|1329Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,84,Plesiotypic,Plesiotypic
None|1387Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,82,Plesiotypic,Plesiotypic
None|1389Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,82,Plesiotypic,Plesiotypic
None|1391Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,82,Plesiotypic,Plesiotypic
None|1393Boiga_|Boiga_dendrophila_dendrophila,no,mature_seq_fallback,82,Plesiotypic,Plesiotypic
None|1317Boiga_|Boiga_dendrophila_gemmicincta,no,mature_seq_fallback,77,Plesiotypic,Plesiotypic
None|1397Boiga_|Boiga_dendrophila_gemmicincta,no,mature_seq_fallback,82,Plesiotypic,Plesiotypic
None|1223Boiga_|Boiga_dendrophila_gemmicincta,no,mature_seq_fallback,84,Plesiotypic,Plesiotypic
None|1225Boiga_|Boiga_dendrophila_gemmicincta,no,mature_seq_fallback,84,Plesiotypic,Plesiotypic
None|1227Boiga_|Boiga_dendrophila_gemmicincta,no,mature_seq_fallback,84,Plesiotypic,Plesiotypic
None|1309Boiga_|Boiga_dendrophila_gemmicincta,no,mature_seq_fallback,77,Non-standard,Plesiotypic
None|1385Boiga_|Boiga_dendrophila_gemmicincta,no,mature_seq_fallback,82,Plesiotypic,Plesiotypic
A0A0B8RS19,yes,full_seq,109,Plesiotypic,Plesiotypic
A0A0B8RS22,yes,full_seq,109,Plesiotypic,Plesiotypic
A0A0B8RS37,yes,full_seq,105,Plesiotypic,Plesiotypic
A0A0B8RS42,yes,full_seq,111,Plesiotypic,Plesiotypic
A0A0B8RS43,yes,full_seq,109,Plesiotypic,Plesiotypic
A0A0B8RS45,yes,full_seq,109,Plesiotypic,Plesiotypic
A0A0B8RS48,yes,full_seq,104,Plesiotypic,Plesiotypic
A0A0B8RSY0,yes,full_seq,109,Plesiotypic,Plesiotypic
A0A0B8RSY6,yes,full_seq,105,Plesiotypic,Plesiotypic
A0A0B8RSZ0,yes,full_seq,109,Plesiotypic,Plesiotypic
A0A0B8RSZ1,yes,full_seq,109,Plesiotypic,Plesiotypic
A0A0B8RSZ3,yes,full_seq,104,Plesiotypic,Plesiotypic
A0A0B8RVA5,yes,full_seq,109,Plesiotypic,Plesiotypic
A0A0B8RVB2,yes,full_seq,111,Plesiotypic,Plesiotypic
A0A0B8RVB7,yes,full_seq,111,Plesiotypic,Plesiotypic
A0A0B8RVB9,yes,full_seq,109,Plesiotypic,Plesiotypic
A0A0B8RVC5,yes,full_seq,101,Plesiotypic,Plesiotypic
A0A0B8RYW2,yes,full_seq,104,Plesiotypic,Plesiotypic
A0A0B8RYX1,yes,full_seq,104,Plesiotypic,Plesiotypic
A0A0B8RYX5,yes,full_seq,110,Plesiotypic,Plesiotypic
A0A0B8RYY0,yes,full_seq,109,Plesiotypic,Plesiotypic
A0A0B8RYY3,yes,full_seq,109,Plesiotypic,Plesiotypic
A0A0B8RYY5,yes,full_seq,109,Plesiotypic,Plesiotypic
A0A0B8RYY9,yes,full_seq,105,Plesiotypic,Plesiotypic
A0A0B8RZW9,yes,full_seq,104,Plesiotypic,Plesiotypic
A0A0B8RZX0,yes,full_seq,108,Plesiotypic,Plesiotypic
A0A0B8RZX5,yes,full_seq,111,Non-standard,Non-standard
A0A0B8RZX6,yes,full_seq,109,Plesiotypic,Plesiotypic
A0A0B8RZX8,yes,full_seq,109,Plesiotypic,Plesiotypic
A0A0B8RZY0,yes,full_seq,105,Plesiotypic,Plesiotypic
A0A193CHL4,yes,full_seq,105,Plesiotypic,Plesiotypic
A0A193CHL6,yes,full_seq,105,Plesiotypic,Plesiotypic
A0A193CHL9,yes,full_seq,105,Plesiotypic,Plesiotypic
A0A193CHM0,yes,full_seq,105,Plesiotypic,Plesiotypic
A0S864,yes,full_seq,109,Plesiotypic,Plesiotypic
A0S865,yes,full_seq,111,Plesiotypic,Plesiotypic
NCBI|Boiga_irregularis_Brisbane_GGUD01000006|Boiga_irregularis,yes,full_seq,84,Non-standard,Non-standard
NCBI|Boiga_irregularis_Sulawesi_GGUE01000001|Boiga_irregularis,yes,full_seq,84,Non-standard,Non-standard
None|1289Boiga_|Boiga_irregularis,no,mature_seq_fallback,77,Plesiotypic,Plesiotypic
None|1295Boiga_|Boiga_irregularis,no,mature_seq_fallback,77,Plesiotypic,Plesiotypic
None|1355Boiga_|Boiga_irregularis,no,mature_seq_fallback,75,Plesiotypic,Plesiotypic
None|1359Boiga_|Boiga_irregularis,no,mature_seq_fallback,75,Plesiotypic,Plesiotypic
NCBI|Boiga_irregularis_Brisbane_GGUD01000001|Boiga_irregularis,yes,full_seq,105,Plesiotypic,Plesiotypic
NCBI|Boiga_irregularis_Brisbane_GGUD01000007|Boiga_irregularis,yes,full_seq,105,Plesiotypic,Plesiotypic
None|1253Boiga_|Boiga_irregularis,no,mature_seq_fallback,86,Plesiotypic,Plesiotypic
None|1255Boiga_|Boiga_irregularis,no,mature_seq_fallback,86,Plesiotypic,Plesiotypic
None|1263Boiga_|Boiga_irregularis,no,mature_seq_fallback,86,Plesiotypic,Plesiotypic
None|1279Boiga_|Boiga_irregularis,no,mature_seq_fallback,86,Plesiotypic,Plesiotypic
None|1281Boiga_|Boiga_irregularis,no,mature_seq_fallback,86,Plesiotypic,Plesiotypic
None|1363Boiga_|Boiga_irregularis,no,mature_seq_fallback,75,Plesiotypic,Plesiotypic
None|1367Boiga_|Boiga_irregularis,no,mature_seq_fallback,75,Plesiotypic,Plesiotypic
None|1371Boiga_|Boiga_irregularis,no,mature_seq_fallback,75,Plesiotypic,Plesiotypic
None|1373Boiga_|Boiga_irregularis,no,mature_seq_fallback,75,Plesiotypic,Plesiotypic
None|1381Boiga_|Boiga_irregularis,no,mature_seq_fallback,75,Plesiotypic,Plesiotypic
A0A193CHL8,yes,full_seq,114,Plesiotypic,Plesiotypic
A0A6G1S2M3,yes,full_seq,103,Plesiotypic,Plesiotypic
A0A6G1S2M9,yes,full_seq,105,Plesiotypic,Plesiotypic
A0A6G1S2N1,yes,full_seq,84,Non-standard,Non-standard
None|1285Boiga_|Boiga_nigriceps,no,mature_seq_fallback,77,Plesiotypic,Plesiotypic
None|1345Boiga_|Boiga_nigriceps,no,mature_seq_fallback,75,Plesiotypic,Plesiotypic
None|1347Boiga_|Boiga_nigriceps,no,mature_seq_fallback,75,Plesiotypic,Plesiotypic
NCBI|Boiga_trigonata_GGUG01000004|Boiga_trigonata,yes,full_seq,84,Non-standard,Non-standard
NCBI|BOITR_GGUG01000006.1_1_318|Boiga_trigonata,yes,full_seq,107,Plesiotypic,Plesiotypic
NCBI|Boiga_trigonata_GGUG01000001|Boiga_trigonata,yes,full_seq,105,Plesiotypic,Plesiotypic
NCBI|Boiga_trigonata_GGUG01000002|Boiga_trigonata,yes,full_seq,105,Plesiotypic,Plesiotypic
NCBI|Boiga_trigonata_GGUG01000005|Boiga_trigonata,yes,full_seq,105,Plesiotypic,Plesiotypic
NCBI|Boiga_trigonata_GGUG01000007|Boiga_trigonata,yes,full_seq,111,Plesiotypic,Plesiotypic
NCBI|BOITR_GGUG01000007.1_1_330|Boiga_trigonata,yes,full_seq,111,Plesiotypic,Plesiotypic
None|1331Boiga_|Boiga_trigonata,no,mature_seq_fallback,73,Plesiotypic,Plesiotypic
NCBI|BOTJA_GEXA01000001.1_15_275|Bothrops_jararaca,no,mature_seq_fallback,65,Non-standard,Non-standard
R4FJG1,yes,full_seq,83,Short-chain,Short-chain
R4FJH6,yes,full_seq,93,Long-chain,Long-chain
R4G2E3,yes,full_seq,83,Short-chain,Short-chain
R4G2E5,yes,full_seq,89,Non-standard,Non-standard
R4G2Q5,yes,full_seq,83,Short-chain,Short-chain
R4G2Q9,yes,full_seq,102,Long-chain,Long-chain
R4G7F3,yes,full_seq,79,Short-chain,Short-chain
R4G7F4,yes,full_seq,89,Non-standard,Non-standard
A1IVR8,no,mature_seq_fallback,73,Long-chain,Long-chain
A1IVR9,no,mature_seq_fallback,73,Long-chain,Long-chain
P81782,no,mature_seq_fallback,63,Plesiotypic,Plesiotypic
P81783,yes,full_seq,87,Plesiotypic,Plesiotypic
P83346,no,mature_seq_fallback,65,Short-chain,Short-chain
P85140,no,mature_seq_fallback,73,Long-chain,Long-chain
Q8AY49,yes,full_seq,86,Plesiotypic,Plesiotypic
Q8AY50,yes,full_seq,86,Plesiotypic,Plesiotypic
Q8AY51,yes,full_seq,86,Plesiotypic,Plesiotypic
Q8AY52,yes,full_seq,86,Short-chain,Short-chain
Q8AY53,yes,full_seq,86,Short-chain,Short-chain
Q8AY55,yes,full_seq,87,Long-chain,Long-chain
Q8AY56,yes,full_seq,87,Long-chain,Long-chain
A2CKF6,yes,full_seq,86,Plesiotypic,Plesiotypic
A2CKF7,yes,full_seq,86,Plesiotypic,Plesiotypic
P0C552,yes,full_seq,78,Short-chain,Short-chain
P0C553,yes,full_seq,79,Short-chain,Short-chain
P0C554,yes,full_seq,86,Short-chain,Short-chain
P0C555,yes,full_seq,83,Short-chain,Short-chain
P10808,no,mature_seq_fallback,64,Short-chain,Short-chain
P14534,no,mature_seq_fallback,63,Non-standard,Non-standard
D5J9P0,yes,full_seq,86,Short-chain,Short-chain
D5J9P2,yes,full_seq,85,Short-chain,Short-chain
D5J9P3,yes,full_seq,86,Short-chain,Short-chain
D5J9P4,yes,full_seq,86,Short-chain,Short-chain
D5J9P6,yes,full_seq,88,Plesiotypic,Plesiotypic
D5J9P8,yes,full_seq,88,Plesiotypic,Plesiotypic
D5J9Q0,yes,full_seq,86,Plesiotypic,Plesiotypic
D5J9Q3,yes,full_seq,103,Non-standard,Non-standard
P15815,no,mature_seq_fallback,66,Long-chain,Long-chain
O12961,yes,full_seq,87,Long-chain,Long-chain
O12962,yes,full_seq,87,Long-chain,Long-chain
O12963,yes,full_seq,89,Plesiotypic,Plesiotypic
P01398,yes,full_seq,87,Long-chain,Long-chain
P15816,yes,full_seq,87,Long-chain,Long-chain
P15817,yes,full_seq,87,Long-chain,Long-chain
P15818,yes,full_seq,87,Plesiotypic,Plesiotypic
P43445,yes,full_seq,83,Short-chain,Short-chain
P60615,yes,full_seq,95,Long-chain,Long-chain
P60616,yes,full_seq,95,Long-chain,Long-chain
P79688,yes,full_seq,86,Short-chain,Short-chain
Q70WS8,yes,full_seq,84,Plesiotypic,Plesiotypic
Q800Y3,yes,full_seq,86,Short-chain,Short-chain
Q8JFX7,yes,full_seq,103,Non-standard,Non-standard
Q9PW19,yes,full_seq,103,Non-standard,Non-standard
Q9W727,yes,full_seq,86,Short-chain,Short-chain
Q9YGH0,yes,full_seq,103,Non-standard,Non-standard
Q9YGH9,yes,full_seq,89,Plesiotypic,Plesiotypic
Q9YGI8,yes,full_seq,86,Short-chain,Short-chain
Q9YGJ0,yes,full_seq,89,Plesiotypic,Plesiotypic
None|Bmul_scaffold7_G00807_t1_mka|Bungarus_multicinctus,yes,full_seq,81,Non-standard,Short-chain
None|Bmul_scaffold7_G00808_t1_mka|Bungarus_multicinctus,yes,full_seq,80,Non-standard,Short-chain
None|Bmul_scaffold9_G00036_t1|Bungarus_multicinctus,yes,full_seq,99,Non-standard,Non-standard
None|B.multicinctus_HiC_scaffold7_G00795.t1|Bungarus_multicinctus,yes,full_seq,127,Ly-6,unknown
None|B.multicinctus_HiC_scaffold7_G00800.t1|Bungarus_multicinctus,yes,full_seq,130,Ly-6,unknown
None|B.multicinctus_HiC_scaffold7_G00801.t1|Bungarus_multicinctus,yes,full_seq,153,Ly-6,unknown
None|Bmul_scaffold7_G00718_t1|Bungarus_multicinctus,yes,full_seq,85,Short-chain,Short-chain
None|Bmul_scaffold7_G00815_t1|Bungarus_multicinctus,yes,full_seq,87,Long-chain,Long-chain
None|Bmul_scaffold7_G00810_t1|Bungarus_multicinctus,yes,full_seq,86,Short-chain,Short-chain
None|Bmul_scaffold7_G00802_t1_mka|Bungarus_multicinctus,yes,full_seq,78,Non-standard,Non-standard
None|denovo_2_scaffold7|Bungarus_multicinctus,yes,full_seq,83,Plesiotypic,unknown
None|Bmul_scaffold6_G00174_t1|Bungarus_multicinctus,yes,full_seq,86,Plesiotypic,Plesiotypic
None|Bmul_scaffold7_G00790_t1|Bungarus_multicinctus,yes,full_seq,86,Plesiotypic,Plesiotypic
None|Bmul_scaffold7_G00803_t1_mka|Bungarus_multicinctus,yes,full_seq,84,Plesiotypic,Plesiotypic
None|Bmul_scaffold7_G00819_t1|Bungarus_multicinctus,yes,full_seq,88,Plesiotypic,Plesiotypic
None|Bmul_scaffold7_G00817_t1|Bungarus_multicinctus,yes,full_seq,86,Short-chain,Short-chain
None|Bmul_scaffold27_G00003_t1|Bungarus_multicinctus,yes,full_seq,87,Long-chain,Long-chain
None|Bmul_scaffold35_G00001_t1|Bungarus_multicinctus,yes,full_seq,87,Long-chain,Long-chain
R4FIB4,yes,full_seq,81,Non-standard,Non-standard
R4FIB8,yes,full_seq,81,Non-standard,Short-chain
R4G2F2,yes,full_seq,92,Long-chain,Long-chain
R4G2S0,yes,full_seq,81,Short-chain,Short-chain
R4G2S3,yes,full_seq,87,Short-chain,Short-chain
A0A898IJN7,yes,full_seq,88,Plesiotypic,Plesiotypic
A0A898IJU7,yes,full_seq,92,Non-standard,Short-chain
A0A898IJX5,yes,full_seq,78,Short-chain,Short-chain
A0A898IJZ2,yes,full_seq,80,Short-chain,Short-chain
A0A898IK11,yes,full_seq,79,Short-chain,Short-chain
A0A898IK81,yes,full_seq,76,Short-chain,Short-chain
A0A898IKB4,yes,full_seq,74,Short-chain,Short-chain
A0A898IKH0,yes,full_seq,74,Short-chain,Short-chain
A0A898IKK6,yes,full_seq,74,Short-chain,Short-chain
A0A898IKP8,yes,full_seq,80,Short-chain,Short-chain
A0A898IKR2,yes,full_seq,84,Short-chain,Short-chain
A0A898IKT9,yes,full_seq,77,Short-chain,Short-chain
A0A898IKW1,yes,full_seq,75,Short-chain,Short-chain
A0A898IKZ4,yes,full_seq,81,Short-chain,Short-chain
A0A898IKZ5,yes,full_seq,74,Short-chain,Short-chain
A0A898IL04,yes,full_seq,78,Short-chain,Short-chain
A0A898IL27,yes,full_seq,80,Short-chain,Short-chain
A0A898IL31,yes,full_seq,76,Short-chain,Short-chain
A0A898IL54,yes,full_seq,77,Short-chain,Short-chain
A0A898IL68,yes,full_seq,81,Short-chain,Short-chain
A0A898IL83,yes,full_seq,80,Short-chain,Short-chain
A0A898ILD4,yes,full_seq,74,Short-chain,Short-chain
A0A898ILG1,yes,full_seq,76,Short-chain,Short-chain
A0A898ILL6,yes,full_seq,81,Short-chain,Short-chain
A0A898ILP2,yes,full_seq,81,Short-chain,Short-chain
A0A898ILQ5,yes,full_seq,76,Short-chain,Short-chain
A0A898ILU1,yes,full_seq,76,Short-chain,Short-chain
A0A898IMW8,yes,full_seq,92,Non-standard,Short-chain
A0A898IMX4,yes,full_seq,85,Short-chain,Short-chain
A0A898IMZ3,yes,full_seq,74,Short-chain,Short-chain
A0A898IN02,yes,full_seq,80,Short-chain,Short-chain
A0A898IN07,yes,full_seq,78,Short-chain,Short-chain
A0A898IN20,yes,full_seq,92,Non-standard,Short-chain
A0A898IN21,yes,full_seq,75,Short-chain,Short-chain
A0A898IN37,yes,full_seq,78,Short-chain,Short-chain
A0A898IN41,yes,full_seq,80,Short-chain,Short-chain
A0A898IN56,yes,full_seq,74,Short-chain,Short-chain
A0A898IN63,yes,full_seq,77,Short-chain,Short-chain
A0A898IN64,yes,full_seq,76,Short-chain,Short-chain
A0A898IN70,yes,full_seq,81,Short-chain,Short-chain
A0A898IN78,yes,full_seq,81,Short-chain,Short-chain
A0A898IN79,yes,full_seq,76,Short-chain,Short-chain
A0A898IN91,yes,full_seq,76,Short-chain,Short-chain
A0A898IN96,yes,full_seq,76,Short-chain,Short-chain
A0A898INB4,yes,full_seq,76,Short-chain,Short-chain
A0A898INK0,yes,full_seq,90,Non-standard,Short-chain
